epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,103.155,0.49626,0.43967,0.92886,0.99198,1,0.995,0.89105,0.4814,0.46976,0.87421,0.0008516,0.0008516,0.0008516
60,104.475,0.46491,0.41437,0.88284,0.98739,1,0.995,0.90582,0.4581,0.63614,0.86455,0.0008318,0.0008318,0.0008318
61,105.746,0.45879,0.41435,0.86401,0.99317,1,0.995,0.89874,0.46344,0.5045,0.86573,0.000812,0.000812,0.000812
62,107.037,0.45401,0.42887,0.92366,0.99643,1,0.995,0.89681,0.45936,0.34136,0.86723,0.0007922,0.0007922,0.0007922
63,108.267,0.52365,0.44226,0.91683,0.99685,1,0.995,0.89828,0.459,0.3196,0.8675,0.0007724,0.0007724,0.0007724
64,109.582,0.45872,0.40677,0.89694,0.99748,1,0.995,0.9019,0.47587,0.33283,0.87139,0.0007526,0.0007526,0.0007526
65,110.822,0.47705,0.41514,0.90597,0.99804,1,0.995,0.89048,0.52415,0.33096,0.88228,0.0007328,0.0007328,0.0007328
66,112.152,0.44859,0.4022,0.90097,0.99809,1,0.995,0.89502,0.52841,0.30656,0.88174,0.000713,0.000713,0.000713
67,113.405,0.40819,0.39399,0.88051,0.99806,1,0.995,0.90164,0.5005,0.30023,0.87563,0.0006932,0.0006932,0.0006932
68,114.753,0.45707,0.42833,0.89592,0.99804,1,0.995,0.90271,0.46261,0.28384,0.86069,0.0006734,0.0006734,0.0006734
69,116.124,0.46394,0.41818,0.88851,0.99805,1,0.995,0.90067,0.46881,0.27877,0.85819,0.0006536,0.0006536,0.0006536
70,117.418,0.42235,0.37678,0.89847,0.998,1,0.995,0.90534,0.46963,0.29244,0.86286,0.0006338,0.0006338,0.0006338
71,118.702,0.47178,0.3754,0.90516,0.99804,1,0.995,0.90417,0.45287,0.2965,0.85834,0.000614,0.000614,0.000614
72,120.041,0.4475,0.39345,0.92246,0.99805,1,0.995,0.92535,0.4498,0.29776,0.8535,0.0005942,0.0005942,0.0005942
73,121.332,0.4216,0.37611,0.8897,0.99801,1,0.995,0.92598,0.4525,0.2855,0.85286,0.0005744,0.0005744,0.0005744
74,122.643,0.46568,0.40593,0.88647,0.99797,1,0.995,0.91547,0.4589,0.29027,0.85411,0.0005546,0.0005546,0.0005546
75,123.966,0.43912,0.37252,0.91264,0.99802,1,0.995,0.91947,0.45132,0.28465,0.85408,0.0005348,0.0005348,0.0005348
76,125.259,0.44352,0.39153,0.92593,0.99798,1,0.995,0.91996,0.43879,0.2898,0.8523,0.000515,0.000515,0.000515
77,126.578,0.39847,0.35561,0.88555,0.99795,1,0.995,0.9121,0.45773,0.29794,0.85878,0.0004952,0.0004952,0.0004952
78,127.912,0.39288,0.3529,0.85399,0.99797,1,0.995,0.9221,0.46747,0.29776,0.8639,0.0004754,0.0004754,0.0004754
79,129.132,0.42067,0.35628,0.89032,0.99803,1,0.995,0.92469,0.45129,0.28393,0.86249,0.0004556,0.0004556,0.0004556
80,130.469,0.43682,0.37201,0.91322,0.99805,1,0.995,0.93569,0.44126,0.27555,0.86001,0.0004358,0.0004358,0.0004358
81,131.717,0.42016,0.37353,0.88513,0.99808,1,0.995,0.93782,0.44398,0.26935,0.85821,0.000416,0.000416,0.000416
82,133.005,0.44739,0.35923,0.90306,0.99805,1,0.995,0.91591,0.46149,0.26287,0.86284,0.0003962,0.0003962,0.0003962
83,134.336,0.32892,0.33153,0.87392,0.99804,1,0.995,0.90087,0.46021,0.25719,0.86519,0.0003764,0.0003764,0.0003764
84,135.683,0.37757,0.33999,0.85885,0.99809,1,0.995,0.92387,0.4401,0.25745,0.86497,0.0003566,0.0003566,0.0003566
85,136.96,0.42116,0.36897,0.90567,0.99808,1,0.995,0.90306,0.45577,0.26616,0.86714,0.0003368,0.0003368,0.0003368
86,138.263,0.38133,0.33643,0.87666,0.99808,1,0.995,0.91022,0.44957,0.26576,0.86387,0.000317,0.000317,0.000317
87,139.51,0.37842,0.34212,0.88141,0.9981,1,0.995,0.91431,0.43446,0.25766,0.8577,0.0002972,0.0002972,0.0002972
88,140.8,0.35217,0.32919,0.8885,0.99811,1,0.995,0.9183,0.4369,0.27231,0.85594,0.0002774,0.0002774,0.0002774
89,142.082,0.40007,0.34104,0.86782,0.99809,1,0.995,0.91291,0.43592,0.2782,0.85528,0.0002576,0.0002576,0.0002576
90,143.362,0.41307,0.33907,0.88207,0.99812,1,0.995,0.90787,0.43828,0.26204,0.85514,0.0002378,0.0002378,0.0002378
91,160.599,0.29208,0.30139,0.80056,0.99815,1,0.995,0.91255,0.44016,0.25565,0.85443,0.000218,0.000218,0.000218
92,161.921,0.29954,0.30679,0.80076,0.99817,1,0.995,0.92016,0.43097,0.24628,0.85304,0.0001982,0.0001982,0.0001982
93,163.139,0.2964,0.30334,0.79249,0.99818,1,0.995,0.92303,0.42588,0.24857,0.85247,0.0001784,0.0001784,0.0001784
94,164.504,0.28637,0.30506,0.77196,0.99813,1,0.995,0.93654,0.41655,0.2441,0.85191,0.0001586,0.0001586,0.0001586
95,165.791,0.28816,0.30036,0.80296,0.99813,1,0.995,0.93927,0.41144,0.24042,0.84963,0.0001388,0.0001388,0.0001388
96,167.127,0.28198,0.28489,0.78617,0.9981,1,0.995,0.94766,0.40741,0.23812,0.84814,0.000119,0.000119,0.000119
97,168.417,0.2769,0.29974,0.79561,0.99812,1,0.995,0.94464,0.41078,0.24063,0.84842,9.92e-05,9.92e-05,9.92e-05
98,169.716,0.27461,0.28528,0.78169,0.99811,1,0.995,0.93391,0.41412,0.24516,0.84951,7.94e-05,7.94e-05,7.94e-05
99,170.945,0.27236,0.29276,0.77352,0.99814,1,0.995,0.93372,0.41483,0.24342,0.84999,5.96e-05,5.96e-05,5.96e-05
100,172.258,0.27648,0.29425,0.7819,0.99814,1,0.995,0.93626,0.41529,0.24248,0.85145,3.98e-05,3.98e-05,3.98e-05
